Cantidad,Tiempo 1,Tiempo 2,Tiempo 3,Tiempo 4,Tiempo 5,Promedio Tiempo,Iteración 1,Iteración 2,Iteración 3,Iteración 4,Iteración 5,Promedio Iteración
3790000,0.0,0.0,0.0,0.0,0.0,0.0,17306,17319,17330,17343,17355,17330,
3800000,0.0,0.0,0.0,0.0,0.0,0.0,17367,17378,17391,17404,17417,17391,
3810000,0.0,0.0,0.0,0.0,0.0,0.0,17430,17444,17457,17470,17482,17456,
3820000,0.0,0.0,0.0,0.0,0.0,0.0,17495,17508,17522,17534,17545,17520,
3830000,0.0,0.0,0.0,0.0,0.0,0.0,17559,17572,17583,17594,17607,17583,
3840000,0.0,0.0,0.0,0.0,0.0,0.0,17620,17631,17644,17656,17667,17643,
3850000,0.0,0.0,0.0,0.0,0.0,0.0,17672,17686,17698,17708,17721,17697,
3860000,0.0,0.0,0.0,0.0,0.0,0.0,17732,17744,17756,17763,17776,17754,
3870000,0.0,0.0,0.0,0.0,0.0,0.0,17789,17803,17814,17825,17837,17813,
3880000,0.0,0.0,0.0,0.0,0.0,0.0,17849,17863,17871,17883,17896,17872,
